product_id,price,platform,discount_type,promotion_info,date,is_stock_available,seller_info,monthly_sales
iphone_15_pro_256,9999,jd,无优惠,首发价,2024-01-15,是,Apple官方旗舰店,5000
iphone_15_pro_256,9499,jd,限时优惠,新年特惠,2024-01-20,是,Apple官方旗舰店,7500
iphone_15_pro_256,8999,jd,满减优惠,618大促,2024-06-18,是,Apple官方旗舰店,15000
iphone_15_pro_256,8599,jd,店铺优惠券,店铺活动,2024-09-01,是,Apple官方旗舰店,8000
iphone_15_pro_256,8999,taobao,无优惠,日常价,2024-01-16,是,天猫Apple Store,6000
iphone_15_pro_256,9299,taobao,平台优惠,年货节,2024-02-01,是,天猫Apple Store,8500
iphone_15_pro_256,8799,taobao,满减优惠,618大促,2024-06-18,是,天猫Apple Store,12000
iphone_15_pro_256,8499,taobao,店铺优惠券,双11预售价,2024-11-01,是,天猫Apple Store,18000
xiaomi14_256,4699,pdd,无优惠,首发价,2024-02-01,是,小米官方旗舰店,8000
xiaomi14_256,4299,pdd,百亿补贴,百亿补贴,2024-02-10,是,小米官方旗舰店,12000
xiaomi14_256,4199,pdd,限时秒杀,品牌日活动,2024-03-15,是,小米官方旗舰店,9500
xiaomi14_256,3999,pdd,大促优惠,618大促,2024-06-18,是,小米官方旗舰店,20000
xiaomi14_256,4599,jd,无优惠,日常价,2024-02-02,是,小米京东自营旗舰店,7000
xiaomi14_256,4399,jd,限时优惠,开学季特惠,2024-03-01,是,小米京东自营旗舰店,9000
xiaomi14_256,4099,jd,满减优惠,618大促,2024-06-18,是,小米京东自营旗舰店,16000
xiaomi14_256,4299,jd,店铺优惠券,返校季,2024-09-01,是,小米京东自营旗舰店,8500
huawei_p60_pro,7988,suning,无优惠,首发价,2024-01-20,是,华为苏宁旗舰店,6000
huawei_p60_pro,7688,suning,限时优惠,新年特惠,2024-01-25,是,华为苏宁旗舰店,7500
huawei_p60_pro,6988,suning,满减优惠,618大促,2024-06-18,是,华为苏宁旗舰店,15000
